LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 19-Jun-2024 16:56:36 0                 
Time Ampl
-0.0008005286 0
-0.0007989286 0
-0.0007973286 0
-0.0007957286 -0.0002352879
-0.0007941286 -0.0002352879
-0.0007925286 -0.0004705758
-0.0007909286 0.0002352879
-0.0007893286 0
-0.0007877286 0
-0.0007861286 -0.0002352879
-0.0007845286 0.0002352879
-0.0007829286 -0.0004705758
-0.0007813286 -0.0004705758
-0.0007797286 -0.0009411517
-0.0007781286 0
-0.0007765286 0
-0.0007749286 -0.0002352879
-0.0007733286 -0.0004705758
-0.0007717286 0.0002352879
-0.0007701286 -0.0004705758
-0.0007685286 0.0002352879
-0.0007669286 0
-0.0007653286 -0.0004705758
-0.0007637286 -0.0002352879
-0.0007621286 0.0004705758
-0.0007605286 -0.0004705758
-0.0007589286 0.0002352879
-0.0007573286 0.0002352879
-0.0007557286 0
-0.0007541286 -0.0002352879
-0.0007525286 0
-0.0007509286 -0.0002352879
-0.0007493286 0
-0.0007477286 0
-0.0007461286 0.0002352879
-0.0007445286 -0.0004705758
-0.0007429286 0
-0.0007413286 -0.0004705758
-0.0007397286 0
-0.0007381286 0
-0.0007365286 0
-0.0007349286 0.0002352879
-0.0007333286 0.0002352879
-0.0007317286 0.0002352879
-0.0007301286 -0.0002352879
-0.0007285286 0.0002352879
-0.0007269286 -0.0002352879
-0.0007253286 0.0004705758
-0.0007237286 -0.0002352879
-0.0007221286 -0.0002352879
-0.0007205286 0
-0.0007189286 -0.0004705758
-0.0007173286 0.0004705758
-0.0007157286 -0.0002352879
-0.0007141286 0
-0.0007125286 -0.0004705758
-0.0007109286 0
-0.0007093286 0.0007058638
-0.0007077286 -0.0002352879
-0.0007061286 0
-0.0007045286 0
-0.0007029286 0
-0.0007013286 0
-0.0006997286 0
-0.0006981286 0.0007058638
-0.0006965286 -0.0002352879
-0.0006949286 0
-0.0006933286 -0.0004705758
-0.0006917286 -0.0002352879
-0.0006901286 0
-0.0006885286 -0.0002352879
-0.0006869286 -0.0007058638
-0.0006853286 0.0002352879
-0.0006837286 -0.0002352879
-0.0006821286 0
-0.0006805286 -0.0002352879
-0.0006789286 0.0004705758
-0.0006773286 0
-0.0006757286 -0.0004705758
-0.0006741286 0
-0.0006725286 0.0004705758
-0.0006709286 0.0002352879
-0.0006693286 0
-0.0006677286 0
-0.0006661286 0.0002352879
-0.0006645286 0.0002352879
-0.0006629286 -0.0002352879
-0.0006613286 0
-0.0006597286 0.0002352879
-0.0006581286 0.0004705758
-0.0006565286 0.0002352879
-0.0006549286 -0.0002352879
-0.0006533286 0
-0.0006517286 0.0002352879
-0.0006501286 0.0002352879
-0.0006485286 -0.0002352879
-0.0006469286 -0.0002352879
-0.0006453286 -0.0002352879
-0.0006437286 0
-0.0006421286 0
-0.0006405286 0
-0.0006389286 0
-0.0006373286 0.0004705758
-0.0006357286 0.0004705758
-0.0006341286 0.0004705758
-0.0006325286 0
-0.0006309286 0.0002352879
-0.0006293286 0
-0.0006277286 0.0002352879
-0.0006261286 -0.0002352879
-0.0006245286 0.0002352879
-0.0006229286 0.0002352879
-0.0006213286 0.0004705758
-0.0006197286 -0.0002352879
-0.0006181286 0.0007058638
-0.0006165286 -0.0002352879
-0.0006149286 0
-0.0006133286 0.0002352879
-0.0006117286 0.0004705758
-0.0006101286 0
-0.0006085286 0.0004705758
-0.0006069286 0.0002352879
-0.0006053286 0
-0.0006037286 0.0004705758
-0.0006021286 0.0002352879
-0.0006005286 0
-0.0005989286 0.0002352879
-0.0005973286 0.0002352879
-0.0005957286 0.0004705758
-0.0005941286 0.0002352879
-0.0005925286 0.0002352879
-0.0005909286 0.0002352879
-0.0005893286 0.0004705758
-0.0005877286 0
-0.0005861286 0.0002352879
-0.0005845286 0
-0.0005829286 0
-0.0005813286 0
-0.0005797286 0.0007058638
-0.0005781286 0.0002352879
-0.0005765286 -0.0002352879
-0.0005749286 0.0004705758
-0.0005733286 0.0004705758
-0.0005717286 0.0007058638
-0.0005701286 0
-0.0005685286 0.0002352879
-0.0005669286 -0.0002352879
-0.0005653286 0.0004705758
-0.0005637286 0.0002352879
-0.0005621286 -0.0002352879
-0.0005605286 0.0004705758
-0.0005589286 0.0004705758
-0.0005573286 0.0002352879
-0.0005557286 0
-0.0005541286 0.0002352879
-0.0005525286 -0.0002352879
-0.0005509286 0.0004705758
