LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2024 22:04:30 0                 
Time Ampl
-0.0008008894 0.0002630782
-0.0007992894 -0.0002074976
-0.0007976894 2.779033e-005
-0.0007960894 -8.985363e-005
-0.0007944894 -0.0002074976
-0.0007928894 -0.0004427855
-0.0007912894 0.0001454343
-0.0007896894 -8.985363e-005
-0.0007880894 -0.0002074976
-0.0007864894 2.779033e-005
-0.0007848894 -0.0002074976
-0.0007832894 -0.0002074976
-0.0007816894 -8.985363e-005
-0.0007800894 -8.985363e-005
-0.0007784894 0.0001454343
-0.0007768894 2.779033e-005
-0.0007752894 0.0001454343
-0.0007736894 2.779033e-005
-0.0007720894 0.0001454343
-0.0007704894 0.0001454343
-0.0007688894 0.0003807222
-0.0007672894 -0.0002074976
-0.0007656894 0.0002630782
-0.0007640894 2.779033e-005
-0.0007624894 2.779033e-005
-0.0007608894 -8.985363e-005
-0.0007592894 2.779033e-005
-0.0007576894 0.0001454343
-0.0007560894 -8.985363e-005
-0.0007544894 -8.985363e-005
-0.0007528894 2.779033e-005
-0.0007512894 -0.0003251415
-0.0007496894 0.0001454343
-0.0007480894 -0.0002074976
-0.0007464894 2.779033e-005
-0.0007448894 -0.0002074976
-0.0007432894 2.779033e-005
-0.0007416894 -8.985363e-005
-0.0007400894 2.779033e-005
-0.0007384894 -0.0004427855
-0.0007368894 -0.0004427855
-0.0007352894 -8.985363e-005
-0.0007336894 -0.0002074976
-0.0007320894 -0.0003251415
-0.0007304894 -8.985363e-005
-0.0007288894 -0.0003251415
-0.0007272894 2.779033e-005
-0.0007256894 -8.985363e-005
-0.0007240894 -0.0002074976
-0.0007224894 2.779033e-005
-0.0007208894 0.0003807222
-0.0007192894 2.779033e-005
-0.0007176894 -0.0003251415
-0.0007160894 0.0001454343
-0.0007144894 2.779033e-005
-0.0007128894 -8.985363e-005
-0.0007112894 -8.985363e-005
-0.0007096894 2.779033e-005
-0.0007080894 0.0001454343
-0.0007064894 -0.0002074976
-0.0007048894 0.0002630782
-0.0007032894 -8.985363e-005
-0.0007016894 -8.985363e-005
-0.0007000894 -8.985363e-005
-0.0006984894 0.0002630782
-0.0006968894 0.0001454343
-0.0006952894 -8.985363e-005
-0.0006936894 -8.985363e-005
-0.0006920894 2.779033e-005
-0.0006904894 2.779033e-005
-0.0006888894 0.0001454343
-0.0006872894 2.779033e-005
-0.0006856894 0.0001454343
-0.0006840894 -0.0002074976
-0.0006824894 -0.0002074976
-0.0006808894 2.779033e-005
-0.0006792894 0.0001454343
-0.0006776894 0.0003807222
-0.0006760894 0.0001454343
-0.0006744894 0.0002630782
-0.0006728894 0.0001454343
-0.0006712894 -0.0002074976
-0.0006696894 -0.0002074976
-0.0006680894 0.0003807222
-0.0006664894 2.779033e-005
-0.0006648894 0.0001454343
-0.0006632894 0.0002630782
-0.0006616894 2.779033e-005
-0.0006600894 0.0001454343
-0.0006584894 2.779033e-005
-0.0006568894 0.0001454343
-0.0006552894 2.779033e-005
-0.0006536894 0.0002630782
-0.0006520894 0.0001454343
-0.0006504894 2.779033e-005
-0.0006488894 0.0001454343
-0.0006472894 2.779033e-005
-0.0006456894 0.0001454343
-0.0006440894 -8.985363e-005
-0.0006424894 -8.985363e-005
-0.0006408894 2.779033e-005
-0.0006392894 2.779033e-005
-0.0006376894 2.779033e-005
-0.0006360894 -8.985363e-005
-0.0006344894 0.0002630782
-0.0006328894 -0.0002074976
-0.0006312894 2.779033e-005
-0.0006296894 -8.985363e-005
-0.0006280894 0.0003807222
-0.0006264894 2.779033e-005
-0.0006248894 -8.985363e-005
-0.0006232894 -8.985363e-005
-0.0006216894 -8.985363e-005
-0.0006200894 -8.985363e-005
-0.0006184894 0.0001454343
-0.0006168894 2.779033e-005
-0.0006152894 -8.985363e-005
-0.0006136894 2.779033e-005
-0.0006120894 -0.0002074976
-0.0006104894 2.779033e-005
-0.0006088894 -8.985363e-005
-0.0006072894 -8.985363e-005
-0.0006056894 2.779033e-005
-0.0006040894 2.779033e-005
-0.0006024894 2.779033e-005
-0.0006008894 0.0001454343
-0.0005992894 0.0001454343
-0.0005976894 -8.985363e-005
-0.0005960894 0.0001454343
-0.0005944894 2.779033e-005
-0.0005928894 0.0002630782
-0.0005912894 0.0001454343
-0.0005896894 0.0004983662
-0.0005880894 -8.985363e-005
-0.0005864894 0.0002630782
-0.0005848894 0.0003807222
-0.0005832894 -8.985363e-005
-0.0005816894 -0.0002074976
-0.0005800894 2.779033e-005
-0.0005784894 0.0001454343
-0.0005768894 0.0003807222
-0.0005752894 2.779033e-005
-0.0005736894 -8.985363e-005
-0.0005720894 0.0004983662
-0.0005704894 0.0001454343
-0.0005688894 -0.0003251415
-0.0005672894 0.0001454343
-0.0005656894 0.0003807222
-0.0005640894 2.779033e-005
-0.0005624894 2.779033e-005
-0.0005608894 -0.0002074976
-0.0005592894 -8.985363e-005
-0.0005576894 2.779033e-005
-0.0005560894 2.779033e-005
-0.0005544894 0.0001454343
-0.0005528894 2.779033e-005
-0.0005512894 2.779033e-005
-0.0005496894 -0.0002074976
-0.0005480894 2.779033e-005
-0.0005464894 -8.985363e-005
-0.0005448894 2.779033e-005
-0.0005432894 2.779033e-005
-0.0005416894 0.0001454343
-0.0005400894 2.779033e-005
-0.0005384894 0.0001454343
-0.0005368894 -8.985363e-005
-0.0005352894 2.779033e-005
-0.0005336894 2.779033e-005
-0.0005320894 0.0002630782
-0.0005304894 -8.985363e-005
-0.0005288894 0.0001454343
-0.0005272894 2.779033e-005
-0.0005256894 2.779033e-005
-0.0005240894 -8.985363e-005
-0.0005224894 -8.985363e-005
-0.0005208894 -0.0002074976
-0.0005192894 -8.985363e-005
-0.0005176894 -0.0002074976
-0.0005160894 0.0002630782
-0.0005144894 0.0001454343
-0.0005128894 -8.985363e-005
-0.0005112894 2.779033e-005
-0.0005096894 2.779033e-005
-0.0005080894 2.779033e-005
-0.0005064894 2.779033e-005
-0.0005048894 -0.0003251415
-0.0005032894 0.0003807222
-0.0005016894 0.0001454343
-0.0005000894 -0.0002074976
-0.0004984894 -0.0002074976
-0.0004968894 2.779033e-005
-0.0004952894 -8.985363e-005
-0.0004936894 0.0001454343
-0.0004920894 -0.0002074976
-0.0004904894 0.0001454343
-0.0004888894 -0.0002074976
-0.0004872894 0.0002630782
-0.0004856894 2.779033e-005
-0.0004840894 0.0001454343
-0.0004824894 -8.985363e-005
-0.0004808894 -0.0002074976
-0.0004792894 0.0001454343
-0.0004776894 0.0001454343
-0.0004760894 2.779033e-005
-0.0004744894 0.0001454343
-0.0004728894 -8.985363e-005
-0.0004712894 0.0002630782
-0.0004696894 -8.985363e-005
-0.0004680894 0.0002630782
-0.0004664894 2.779033e-005
-0.0004648894 0.0003807222
-0.0004632894 0.0001454343
-0.0004616894 2.779033e-005
-0.0004600894 0.0002630782
-0.0004584894 -8.985363e-005
-0.0004568894 0.0003807222
-0.0004552894 0.0002630782
-0.0004536894 -8.985363e-005
-0.0004520894 -8.985363e-005
-0.0004504894 0.0002630782
-0.0004488894 0.0002630782
-0.0004472894 2.779033e-005
-0.0004456894 0.0002630782
-0.0004440894 2.779033e-005
-0.0004424894 2.779033e-005
-0.0004408894 -8.985363e-005
-0.0004392894 -0.0002074976
-0.0004376894 -8.985363e-005
-0.0004360894 0.0003807222
-0.0004344894 0.0001454343
-0.0004328894 -0.0002074976
-0.0004312894 -0.0002074976
-0.0004296894 0.0004983662
-0.0004280894 2.779033e-005
-0.0004264894 0.0003807222
-0.0004248894 2.779033e-005
-0.0004232894 0.0003807222
-0.0004216894 2.779033e-005
-0.0004200894 -8.985363e-005
-0.0004184894 -8.985363e-005
-0.0004168894 0.0001454343
-0.0004152894 2.779033e-005
-0.0004136894 2.779033e-005
-0.0004120894 2.779033e-005
-0.0004104894 0.0003807222
-0.0004088894 -8.985363e-005
-0.0004072894 0.0001454343
-0.0004056894 2.779033e-005
-0.0004040894 0.0002630782
-0.0004024894 2.779033e-005
-0.0004008894 2.779033e-005
-0.0003992894 0.0001454343
