LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 19-Jun-2024 15:40:45 0                 
Time Ampl
-0.0008006854 0.0007058638
-0.0007990854 0
-0.0007974854 0.0007058638
-0.0007958854 0.0004705758
-0.0007942854 0.0009411517
-0.0007926854 0.0002352879
-0.0007910854 0.0004705758
-0.0007894854 0.0002352879
-0.0007878854 0.0009411517
-0.0007862854 0.0002352879
-0.0007846854 0.0004705758
-0.0007830854 0
-0.0007814854 0
-0.0007798854 0.0007058638
-0.0007782854 0.0004705758
-0.0007766854 0
-0.0007750854 0.0007058638
-0.0007734854 0.0002352879
-0.0007718854 0
-0.0007702854 0.0004705758
-0.0007686854 0.0007058638
-0.0007670854 0.0002352879
-0.0007654854 0.0004705758
-0.0007638854 0
-0.0007622854 0.0007058638
-0.0007606854 0.0002352879
-0.0007590854 0
-0.0007574854 0.0007058638
-0.0007558854 0.0002352879
-0.0007542854 0.0004705758
-0.0007526854 0.0002352879
-0.0007510854 0.0002352879
-0.0007494854 0.0002352879
-0.0007478854 0.0004705758
-0.0007462854 0
-0.0007446854 0.0002352879
-0.0007430854 0.0004705758
-0.0007414854 0
-0.0007398854 0.0004705758
-0.0007382854 0.0009411517
-0.0007366854 0
-0.0007350854 0.0002352879
-0.0007334854 0.0002352879
-0.0007318854 0.0007058638
-0.0007302854 0
-0.0007286854 0.0002352879
-0.0007270854 0.0009411517
-0.0007254854 0.0007058638
-0.0007238854 0.0004705758
-0.0007222854 0.0004705758
-0.0007206854 0.0007058638
-0.0007190854 0.0002352879
-0.0007174854 0
-0.0007158854 0.0004705758
-0.0007142854 0.0007058638
-0.0007126854 0.0007058638
-0.0007110854 0.0007058638
-0.0007094854 0.0002352879
-0.0007078854 0.0004705758
-0.0007062854 0
-0.0007046854 0.0007058638
-0.0007030854 0.0007058638
-0.0007014854 0.0004705758
-0.0006998854 0
-0.0006982854 0.0002352879
-0.0006966854 0
-0.0006950854 0.0002352879
-0.0006934854 -0.0002352879
-0.0006918854 0.0007058638
-0.0006902854 0
-0.0006886854 0.0002352879
-0.0006870854 0
-0.0006854854 0.0007058638
-0.0006838854 0.0002352879
-0.0006822854 0.0002352879
-0.0006806854 0.0004705758
-0.0006790854 0.0002352879
-0.0006774854 0.0002352879
-0.0006758854 0.0002352879
-0.0006742854 0.0004705758
-0.0006726854 0.0002352879
-0.0006710854 0
-0.0006694854 0.0004705758
-0.0006678854 0.0002352879
-0.0006662854 0.0004705758
-0.0006646854 0.0002352879
-0.0006630854 0.0009411517
-0.0006614854 0.0007058638
-0.0006598854 0.0002352879
-0.0006582854 0.0002352879
-0.0006566854 0.0007058638
-0.0006550854 0.0002352879
-0.0006534854 0.0007058638
-0.0006518854 0
-0.0006502854 0.0002352879
-0.0006486854 0
-0.0006470854 0.0002352879
-0.0006454854 -0.0002352879
-0.0006438854 0.0002352879
-0.0006422854 0
-0.0006406854 0.0004705758
-0.0006390854 0
-0.0006374854 0
-0.0006358854 0.0007058638
-0.0006342854 0.0004705758
-0.0006326854 0.0002352879
-0.0006310854 0.0007058638
-0.0006294854 0.0002352879
-0.0006278854 0.0004705758
-0.0006262854 0.0002352879
-0.0006246854 -0.0002352879
-0.0006230854 0.0004705758
-0.0006214854 0.0002352879
-0.0006198854 0
-0.0006182854 0.0002352879
-0.0006166854 0.0004705758
-0.0006150854 0.0002352879
-0.0006134854 0.0002352879
-0.0006118854 0
-0.0006102854 0
-0.0006086854 0.0002352879
-0.0006070854 -0.0002352879
-0.0006054854 0.0002352879
-0.0006038854 0.0002352879
-0.0006022854 0.0002352879
-0.0006006854 0.0004705758
-0.0005990854 0
-0.0005974854 -0.0004705758
-0.0005958854 0.0002352879
-0.0005942854 0
-0.0005926854 0.0009411517
-0.0005910854 0
-0.0005894854 0.0002352879
-0.0005878854 0.0004705758
-0.0005862854 -0.0002352879
-0.0005846854 0.0004705758
-0.0005830854 0.0004705758
-0.0005814854 0.0002352879
-0.0005798854 0.0004705758
-0.0005782854 -0.0002352879
-0.0005766854 0.0002352879
-0.0005750854 0
-0.0005734854 0.0004705758
-0.0005718854 0
-0.0005702854 0.0007058638
-0.0005686854 0.0004705758
-0.0005670854 0.0004705758
-0.0005654854 0.0002352879
-0.0005638854 0.0004705758
-0.0005622854 0
-0.0005606854 0.0007058638
-0.0005590854 0
-0.0005574854 0
-0.0005558854 0.0002352879
-0.0005542854 0
-0.0005526854 0.0004705758
-0.0005510854 0.0002352879
-0.0005494854 0.0002352879
-0.0005478854 -0.0002352879
-0.0005462854 -0.0002352879
-0.0005446854 0.0002352879
-0.0005430854 0.0007058638
-0.0005414854 0.0007058638
-0.0005398854 0.0002352879
-0.0005382854 0.0002352879
-0.0005366854 0.0004705758
-0.0005350854 0.0002352879
-0.0005334854 0
-0.0005318854 0.0002352879
-0.0005302854 0
-0.0005286854 0.0007058638
-0.0005270854 0.0004705758
-0.0005254854 0.0004705758
-0.0005238854 0
-0.0005222854 0.0002352879
