LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 19-Jun-2024 16:53:15 0                 
Time Ampl
-0.0008013606 -0.0004705758
-0.0007997606 -0.0002352879
-0.0007981606 -0.0002352879
-0.0007965606 0
-0.0007949606 -0.0002352879
-0.0007933606 -0.0002352879
-0.0007917606 0
-0.0007901606 -0.0002352879
-0.0007885606 0.0002352879
-0.0007869606 -0.0002352879
-0.0007853606 -0.0004705758
-0.0007837606 -0.0002352879
-0.0007821606 -0.0002352879
-0.0007805606 -0.0002352879
-0.0007789606 -0.0002352879
-0.0007773606 0
-0.0007757606 -0.0002352879
-0.0007741606 0.0002352879
-0.0007725606 0
-0.0007709606 -0.0004705758
-0.0007693606 -0.0004705758
-0.0007677606 -0.0002352879
-0.0007661606 -0.0002352879
-0.0007645606 -0.0004705758
-0.0007629606 -0.0004705758
-0.0007613606 -0.0002352879
-0.0007597606 -0.0002352879
-0.0007581606 -0.0007058638
-0.0007565606 -0.0007058638
-0.0007549606 0
-0.0007533606 -0.0002352879
-0.0007517606 -0.0004705758
-0.0007501606 -0.0004705758
-0.0007485606 -0.0002352879
-0.0007469606 -0.0009411517
-0.0007453606 -0.0002352879
-0.0007437606 -0.0004705758
-0.0007421606 -0.0002352879
-0.0007405606 -0.0007058638
-0.0007389606 -0.0004705758
-0.0007373606 -0.0002352879
-0.0007357606 -0.0002352879
-0.0007341606 -0.0007058638
-0.0007325606 -0.0002352879
-0.0007309606 -0.0004705758
-0.0007293606 -0.0004705758
-0.0007277606 -0.0004705758
-0.0007261606 -0.0002352879
-0.0007245606 -0.0007058638
-0.0007229606 0
-0.0007213606 -0.0004705758
-0.0007197606 0
-0.0007181606 0
-0.0007165606 0
-0.0007149606 -0.0002352879
-0.0007133606 0.0002352879
-0.0007117606 0
-0.0007101606 0.0002352879
-0.0007085606 0
-0.0007069606 0.0002352879
-0.0007053606 -0.0007058638
-0.0007037606 0
-0.0007021606 -0.0002352879
-0.0007005606 0
-0.0006989606 -0.0007058638
-0.0006973606 -0.0002352879
-0.0006957606 -0.0007058638
-0.0006941606 -0.0004705758
-0.0006925606 -0.0004705758
-0.0006909606 -0.0007058638
-0.0006893606 -0.0007058638
-0.0006877606 -0.0002352879
-0.0006861606 -0.0004705758
-0.0006845606 -0.0009411517
-0.0006829606 -0.0007058638
-0.0006813606 -0.0002352879
-0.0006797606 -0.0002352879
-0.0006781606 -0.0004705758
-0.0006765606 -0.0002352879
-0.0006749606 0
-0.0006733606 -0.00117644
-0.0006717606 -0.0002352879
-0.0006701606 -0.0004705758
-0.0006685606 -0.0007058638
-0.0006669606 -0.0002352879
-0.0006653606 0
-0.0006637606 0
-0.0006621606 -0.0002352879
-0.0006605606 -0.0004705758
-0.0006589606 -0.0002352879
-0.0006573606 -0.0002352879
-0.0006557606 -0.0004705758
-0.0006541606 -0.0002352879
-0.0006525606 -0.0004705758
-0.0006509606 -0.0002352879
-0.0006493606 -0.0002352879
-0.0006477606 -0.0007058638
-0.0006461606 0.0004705758
-0.0006445606 0
-0.0006429606 0
-0.0006413606 -0.0002352879
-0.0006397606 0.0002352879
-0.0006381606 -0.0002352879
-0.0006365606 0
-0.0006349606 -0.0002352879
-0.0006333606 0
-0.0006317606 -0.0007058638
-0.0006301606 -0.0007058638
-0.0006285606 -0.0007058638
-0.0006269606 0
-0.0006253606 -0.0007058638
-0.0006237606 -0.0004705758
-0.0006221606 -0.0007058638
-0.0006205606 0
-0.0006189606 -0.0007058638
-0.0006173606 -0.0004705758
-0.0006157606 -0.0004705758
-0.0006141606 -0.0007058638
-0.0006125606 -0.0007058638
-0.0006109606 -0.0002352879
-0.0006093606 -0.0007058638
-0.0006077606 -0.0007058638
-0.0006061606 -0.0009411517
-0.0006045606 0
-0.0006029606 -0.0004705758
-0.0006013606 -0.0002352879
-0.0005997606 -0.0004705758
-0.0005981606 0
-0.0005965606 -0.0002352879
-0.0005949606 -0.0004705758
-0.0005933606 -0.0004705758
-0.0005917606 -0.0002352879
-0.0005901606 0
-0.0005885606 -0.0007058638
-0.0005869606 -0.0007058638
-0.0005853606 -0.0004705758
-0.0005837606 -0.0004705758
-0.0005821606 0
-0.0005805606 -0.0002352879
-0.0005789606 -0.0002352879
-0.0005773606 0
-0.0005757606 -0.0004705758
-0.0005741606 -0.0004705758
-0.0005725606 0.0002352879
-0.0005709606 -0.0004705758
-0.0005693606 0
-0.0005677606 -0.0007058638
-0.0005661606 -0.0004705758
-0.0005645606 -0.0007058638
-0.0005629606 -0.0002352879
-0.0005613606 0
-0.0005597606 0
-0.0005581606 -0.0004705758
-0.0005565606 -0.0004705758
-0.0005549606 -0.0004705758
-0.0005533606 -0.0007058638
-0.0005517606 -0.0007058638
-0.0005501606 -0.0002352879
-0.0005485606 -0.0002352879
-0.0005469606 0
-0.0005453606 -0.0009411517
-0.0005437606 0
-0.0005421606 -0.0009411517
-0.0005405606 -0.0007058638
-0.0005389606 -0.0002352879
-0.0005373606 -0.0002352879
-0.0005357606 -0.0004705758
-0.0005341606 -0.0004705758
-0.0005325606 -0.0002352879
-0.0005309606 -0.0002352879
-0.0005293606 -0.0002352879
-0.0005277606 -0.0004705758
-0.0005261606 -0.0004705758
-0.0005245606 -0.0002352879
-0.0005229606 -0.0004705758
-0.0005213606 0.0002352879
-0.0005197606 -0.0004705758
-0.0005181606 -0.0002352879
-0.0005165606 -0.0007058638
-0.0005149606 -0.0002352879
-0.0005133606 -0.0007058638
-0.0005117606 -0.0002352879
-0.0005101606 -0.0004705758
-0.0005085606 -0.0004705758
-0.0005069606 -0.0004705758
-0.0005053606 0.0002352879
-0.0005037606 -0.0002352879
-0.0005021606 0
-0.0005005606 -0.0004705758
-0.0004989606 -0.0004705758
-0.0004973606 -0.0002352879
-0.0004957606 -0.0002352879
-0.0004941606 -0.0007058638
-0.0004925606 0
-0.0004909606 -0.0004705758
-0.0004893606 -0.0007058638
-0.0004877606 -0.0004705758
-0.0004861606 0
-0.0004845606 -0.0004705758
-0.0004829606 -0.0002352879
-0.0004813606 0
-0.0004797606 -0.00117644
-0.0004781606 -0.0007058638
-0.0004765606 -0.0004705758
-0.0004749606 -0.0004705758
-0.0004733606 -0.0004705758
-0.0004717606 -0.0004705758
-0.0004701606 -0.0004705758
-0.0004685606 -0.0007058638
-0.0004669606 -0.001411728
-0.0004653606 -0.0007058638
-0.0004637606 -0.0002352879
-0.0004621606 -0.0009411517
-0.0004605606 0
-0.0004589606 -0.0009411517
-0.0004573606 -0.0007058638
-0.0004557606 -0.0004705758
-0.0004541606 -0.0004705758
-0.0004525606 -0.0007058638
-0.0004509606 -0.0002352879
-0.0004493606 -0.0002352879
-0.0004477606 0
-0.0004461606 -0.0007058638
-0.0004445606 -0.0002352879
-0.0004429606 -0.0004705758
-0.0004413606 -0.0002352879
-0.0004397606 -0.0004705758
-0.0004381606 0.0002352879
-0.0004365606 -0.0007058638
-0.0004349606 -0.0002352879
-0.0004333606 -0.0009411517
-0.0004317606 -0.0009411517
-0.0004301606 0
-0.0004285606 -0.0002352879
-0.0004269606 -0.0009411517
-0.0004253606 -0.0002352879
-0.0004237606 -0.0004705758
-0.0004221606 -0.0002352879
-0.0004205606 -0.0004705758
-0.0004189606 -0.0007058638
-0.0004173606 -0.0002352879
-0.0004157606 -0.0002352879
-0.0004141606 -0.0007058638
-0.0004125606 -0.0004705758
-0.0004109606 -0.00117644
-0.0004093606 -0.0002352879
-0.0004077606 -0.0007058638
-0.0004061606 -0.0004705758
-0.0004045606 -0.0004705758
-0.0004029606 -0.0004705758
-0.0004013606 -0.0004705758
-0.0003997606 -0.0007058638
-0.0003981606 -0.0009411517
-0.0003965606 -0.0009411517
-0.0003949606 -0.0002352879
-0.0003933606 -0.0004705758
-0.0003917606 -0.0007058638
-0.0003901606 -0.00117644
-0.0003885606 -0.0004705758
-0.0003869606 -0.0002352879
-0.0003853606 -0.0002352879
-0.0003837606 -0.0002352879
-0.0003821606 -0.0004705758
-0.0003805606 -0.0004705758
-0.0003789606 -0.0004705758
-0.0003773606 0
-0.0003757606 -0.0004705758
-0.0003741606 -0.0007058638
-0.0003725606 -0.0002352879
-0.0003709606 -0.0004705758
-0.0003693606 -0.0004705758
-0.0003677606 -0.0004705758
-0.0003661606 -0.0002352879
-0.0003645606 -0.0007058638
-0.0003629606 -0.0004705758
-0.0003613606 -0.0002352879
-0.0003597606 -0.0002352879
-0.0003581606 0.0002352879
-0.0003565606 -0.0004705758
-0.0003549606 0
-0.0003533606 -0.0002352879
-0.0003517606 -0.0002352879
-0.0003501606 -0.0007058638
-0.0003485606 -0.0002352879
-0.0003469606 -0.0004705758
-0.0003453606 -0.0004705758
-0.0003437606 -0.0007058638
-0.0003421606 -0.0002352879
-0.0003405606 -0.0007058638
-0.0003389606 -0.0004705758
-0.0003373606 -0.0007058638
-0.0003357606 -0.0007058638
-0.0003341606 -0.0002352879
-0.0003325606 -0.0009411517
-0.0003309606 -0.0004705758
-0.0003293606 -0.00117644
-0.0003277606 0
-0.0003261606 0
-0.0003245606 -0.0002352879
-0.0003229606 0
-0.0003213606 -0.0007058638
-0.0003197606 -0.0002352879
-0.0003181606 -0.0004705758
-0.0003165606 -0.0004705758
-0.0003149606 -0.0004705758
-0.0003133606 -0.0002352879
-0.0003117606 -0.0004705758
-0.0003101606 -0.00117644
-0.0003085606 -0.0004705758
-0.0003069606 -0.0002352879
-0.0003053606 -0.0002352879
-0.0003037606 0
-0.0003021606 -0.0004705758
-0.0003005606 -0.0002352879
-0.0002989606 -0.0009411517
-0.0002973606 -0.0004705758
-0.0002957606 -0.0004705758
