LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 16-May-2024 16:57:07 0                 
Time Ampl
-0.0008007602 -0.0004705758
-0.0007991602 -0.0007058638
-0.0007975602 -0.0004705758
-0.0007959602 -0.0004705758
-0.0007943602 -0.0002352879
-0.0007927602 -0.0002352879
-0.0007911602 -0.0009411517
-0.0007895602 -0.0002352879
-0.0007879602 -0.00117644
-0.0007863602 -0.0004705758
-0.0007847602 -0.0007058638
-0.0007831602 -0.0007058638
-0.0007815602 -0.0007058638
-0.0007799602 -0.0007058638
-0.0007783602 -0.0007058638
-0.0007767602 -0.0009411517
-0.0007751602 -0.0004705758
-0.0007735602 -0.0002352879
-0.0007719602 -0.0002352879
-0.0007703602 -0.0007058638
-0.0007687602 -0.0007058638
-0.0007671602 -0.00117644
-0.0007655602 -0.0007058638
-0.0007639602 -0.0002352879
-0.0007623602 -0.00117644
-0.0007607602 -0.0004705758
-0.0007591602 -0.0007058638
-0.0007575602 -0.0004705758
-0.0007559602 -0.0004705758
-0.0007543602 -0.0004705758
-0.0007527602 -0.00117644
-0.0007511602 -0.0002352879
-0.0007495602 -0.0009411517
-0.0007479602 -0.0007058638
-0.0007463602 -0.0004705758
-0.0007447602 -0.0007058638
-0.0007431602 -0.0004705758
-0.0007415602 -0.0007058638
-0.0007399602 0
-0.0007383602 -0.0007058638
-0.0007367602 -0.0002352879
-0.0007351602 -0.0009411517
-0.0007335602 -0.0004705758
-0.0007319602 0
-0.0007303602 -0.0009411517
-0.0007287602 -0.00117644
-0.0007271602 -0.0004705758
-0.0007255602 -0.0007058638
-0.0007239602 -0.0004705758
-0.0007223602 -0.0009411517
-0.0007207602 -0.0002352879
-0.0007191602 -0.0009411517
-0.0007175602 0
-0.0007159602 -0.0004705758
-0.0007143602 -0.0007058638
-0.0007127602 -0.0009411517
-0.0007111602 -0.0007058638
-0.0007095602 -0.0007058638
-0.0007079602 -0.0004705758
-0.0007063602 0
-0.0007047602 -0.0009411517
-0.0007031602 -0.0007058638
-0.0007015602 -0.0007058638
-0.0006999602 -0.0007058638
-0.0006983602 -0.00117644
-0.0006967602 0.0002352879
-0.0006951602 -0.0004705758
-0.0006935602 -0.0007058638
-0.0006919602 -0.0009411517
-0.0006903602 -0.0004705758
-0.0006887602 -0.0004705758
-0.0006871602 -0.0004705758
-0.0006855602 -0.0004705758
-0.0006839602 -0.0007058638
-0.0006823602 -0.0009411517
-0.0006807602 -0.0004705758
-0.0006791602 -0.0009411517
-0.0006775602 -0.0007058638
-0.0006759602 -0.0004705758
-0.0006743602 -0.00117644
-0.0006727602 -0.0004705758
-0.0006711602 -0.0007058638
-0.0006695602 -0.0004705758
-0.0006679602 -0.0002352879
-0.0006663602 -0.0002352879
-0.0006647602 -0.0002352879
-0.0006631602 -0.0004705758
-0.0006615602 -0.0007058638
-0.0006599602 -0.0004705758
-0.0006583602 0.0002352879
-0.0006567602 -0.0004705758
-0.0006551602 0
-0.0006535602 -0.0007058638
-0.0006519602 -0.0002352879
-0.0006503602 -0.0007058638
-0.0006487602 -0.0009411517
-0.0006471602 -0.0004705758
-0.0006455602 -0.0004705758
-0.0006439602 -0.0007058638
-0.0006423602 -0.0004705758
-0.0006407602 -0.0009411517
-0.0006391602 0
-0.0006375602 -0.0004705758
-0.0006359602 0
-0.0006343602 -0.0002352879
-0.0006327602 -0.0009411517
-0.0006311602 -0.0004705758
-0.0006295602 0
-0.0006279602 -0.0002352879
-0.0006263602 -0.0009411517
-0.0006247602 -0.0004705758
-0.0006231602 -0.0007058638
-0.0006215602 -0.0007058638
-0.0006199602 -0.0007058638
-0.0006183602 -0.0002352879
-0.0006167602 -0.0004705758
-0.0006151602 -0.0004705758
-0.0006135602 -0.0002352879
-0.0006119602 -0.0002352879
-0.0006103602 -0.00117644
-0.0006087602 -0.0004705758
-0.0006071602 -0.0007058638
-0.0006055602 -0.0009411517
-0.0006039602 -0.0002352879
-0.0006023602 -0.0002352879
-0.0006007602 -0.0004705758
-0.0005991602 -0.0007058638
-0.0005975602 0
-0.0005959602 -0.0002352879
-0.0005943602 0
-0.0005927602 -0.0007058638
-0.0005911602 -0.0004705758
-0.0005895602 0
-0.0005879602 -0.0004705758
-0.0005863602 -0.0004705758
-0.0005847602 -0.0007058638
-0.0005831602 -0.0004705758
-0.0005815602 -0.0007058638
-0.0005799602 -0.0009411517
-0.0005783602 -0.0007058638
-0.0005767602 -0.0002352879
-0.0005751602 0
-0.0005735602 -0.0009411517
-0.0005719602 -0.0007058638
-0.0005703602 -0.0009411517
-0.0005687602 -0.0007058638
-0.0005671602 -0.0004705758
-0.0005655602 -0.0007058638
-0.0005639602 -0.0009411517
-0.0005623602 -0.0007058638
-0.0005607602 -0.0002352879
-0.0005591602 -0.0007058638
-0.0005575602 -0.0007058638
-0.0005559602 -0.0002352879
-0.0005543602 -0.0002352879
-0.0005527602 -0.0002352879
-0.0005511602 -0.0004705758
-0.0005495602 -0.0004705758
-0.0005479602 -0.0002352879
-0.0005463602 -0.0009411517
-0.0005447602 -0.0004705758
-0.0005431602 -0.0004705758
-0.0005415602 -0.0002352879
-0.0005399602 -0.0007058638
-0.0005383602 -0.00117644
-0.0005367602 -0.0004705758
-0.0005351602 -0.0002352879
-0.0005335602 0
-0.0005319602 -0.0004705758
-0.0005303602 -0.0002352879
-0.0005287602 -0.0004705758
-0.0005271602 -0.0007058638
-0.0005255602 -0.0004705758
-0.0005239602 0.0002352879
-0.0005223602 -0.0009411517
-0.0005207602 -0.0007058638
-0.0005191602 -0.0002352879
-0.0005175602 0
-0.0005159602 -0.0004705758
-0.0005143602 -0.0007058638
-0.0005127602 -0.0009411517
-0.0005111602 -0.0002352879
-0.0005095602 -0.0007058638
-0.0005079602 -0.0007058638
-0.0005063602 -0.0007058638
-0.0005047602 0
-0.0005031602 -0.0002352879
-0.0005015602 -0.0009411517
-0.0004999602 -0.0002352879
-0.0004983602 -0.0004705758
-0.0004967602 -0.0007058638
-0.0004951602 -0.0007058638
-0.0004935602 -0.0004705758
