LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 05-Jun-2024 16:19:44 0                 
Time Ampl
-0.0008004398 -0.0002352879
-0.0007988398 -0.0004705758
-0.0007972398 0.0002352879
-0.0007956398 -0.0004705758
-0.0007940398 -0.0004705758
-0.0007924398 -0.0002352879
-0.0007908398 -0.0004705758
-0.0007892398 0.0002352879
-0.0007876398 0.0002352879
-0.0007860398 -0.0002352879
-0.0007844398 -0.0007058638
-0.0007828398 -0.0002352879
-0.0007812398 -0.0004705758
-0.0007796398 -0.0004705758
-0.0007780398 -0.0002352879
-0.0007764398 -0.0007058638
-0.0007748398 -0.0002352879
-0.0007732398 -0.0004705758
-0.0007716398 -0.0002352879
-0.0007700398 -0.0004705758
-0.0007684398 -0.0002352879
-0.0007668398 0
-0.0007652398 -0.0002352879
-0.0007636398 0.0002352879
-0.0007620398 0
-0.0007604398 0.0002352879
-0.0007588398 -0.0007058638
-0.0007572398 0.0002352879
-0.0007556398 0
-0.0007540398 -0.0009411517
-0.0007524398 -0.0007058638
-0.0007508398 -0.0002352879
-0.0007492398 -0.0004705758
-0.0007476398 0
-0.0007460398 -0.0004705758
-0.0007444398 -0.0004705758
-0.0007428398 -0.0002352879
-0.0007412398 0.0002352879
-0.0007396398 -0.0002352879
-0.0007380398 -0.0002352879
-0.0007364398 -0.0009411517
-0.0007348398 -0.0002352879
-0.0007332398 -0.0009411517
-0.0007316398 0.0004705758
-0.0007300398 0
-0.0007284398 -0.0007058638
-0.0007268398 -0.0004705758
-0.0007252398 -0.0002352879
-0.0007236398 -0.0002352879
-0.0007220398 -0.0007058638
-0.0007204398 -0.0007058638
-0.0007188398 -0.0004705758
-0.0007172398 -0.0004705758
-0.0007156398 -0.0004705758
-0.0007140398 -0.0002352879
-0.0007124398 0
-0.0007108398 -0.0004705758
-0.0007092398 -0.0004705758
-0.0007076398 0
-0.0007060398 -0.0002352879
-0.0007044398 -0.0004705758
-0.0007028398 -0.0002352879
-0.0007012398 -0.0004705758
-0.0006996398 -0.0007058638
-0.0006980398 -0.0002352879
-0.0006964398 0.0002352879
-0.0006948398 -0.0004705758
-0.0006932398 0
-0.0006916398 -0.0002352879
-0.0006900398 0
-0.0006884398 -0.0007058638
-0.0006868398 -0.0004705758
-0.0006852398 -0.0009411517
-0.0006836398 -0.0002352879
-0.0006820398 0.0002352879
-0.0006804398 -0.0004705758
-0.0006788398 0
-0.0006772398 -0.0004705758
-0.0006756398 -0.0002352879
-0.0006740398 -0.0002352879
-0.0006724398 -0.0004705758
-0.0006708398 0
-0.0006692398 0
-0.0006676398 0
-0.0006660398 -0.0004705758
-0.0006644398 -0.0004705758
-0.0006628398 0
-0.0006612398 -0.0004705758
-0.0006596398 -0.0009411517
-0.0006580398 -0.0002352879
-0.0006564398 -0.0004705758
-0.0006548398 -0.0007058638
-0.0006532398 -0.0007058638
-0.0006516398 -0.0004705758
-0.0006500398 -0.0002352879
-0.0006484398 -0.0004705758
-0.0006468398 -0.0002352879
-0.0006452398 -0.0002352879
-0.0006436398 -0.0004705758
-0.0006420398 0
-0.0006404398 -0.0004705758
-0.0006388398 0
-0.0006372398 0
-0.0006356398 -0.0002352879
-0.0006340398 -0.0002352879
-0.0006324398 -0.0004705758
-0.0006308398 -0.0002352879
-0.0006292398 0
-0.0006276398 -0.0007058638
-0.0006260398 -0.0002352879
-0.0006244398 -0.0007058638
-0.0006228398 0
-0.0006212398 -0.0002352879
-0.0006196398 0
-0.0006180398 -0.0002352879
-0.0006164398 0
-0.0006148398 0.0002352879
-0.0006132398 -0.0002352879
-0.0006116398 -0.0004705758
-0.0006100398 -0.0002352879
-0.0006084398 0.0002352879
-0.0006068398 -0.0002352879
-0.0006052398 0
-0.0006036398 0
-0.0006020398 -0.0002352879
-0.0006004398 -0.0002352879
-0.0005988398 -0.0007058638
-0.0005972398 -0.0002352879
-0.0005956398 -0.0002352879
-0.0005940398 -0.0004705758
-0.0005924398 0
-0.0005908398 -0.0004705758
-0.0005892398 -0.0007058638
-0.0005876398 0
-0.0005860398 -0.0002352879
-0.0005844398 -0.0004705758
-0.0005828398 -0.0004705758
-0.0005812398 -0.0007058638
-0.0005796398 -0.0004705758
-0.0005780398 -0.0004705758
-0.0005764398 -0.0002352879
-0.0005748398 -0.0002352879
-0.0005732398 -0.0004705758
-0.0005716398 -0.0002352879
-0.0005700398 -0.0002352879
