LECROYWS4024HD 19320 Waveform
Segments 1 SegmentSize 3127
Segment TrigTime TimeSinceSegment1
#1 09-Jul-2024 00:12:54 0                 
Time Ampl
-0.0008004142 -0.003646963
-0.0007988142 -0.003529319
-0.0007972142 -0.003764607
-0.0007956142 -0.003646963
-0.0007940142 -0.003529319
-0.0007924142 -0.003294031
-0.0007908142 -0.003294031
-0.0007892142 -0.003411675
-0.0007876142 -0.003529319
-0.0007860142 -0.003058743
-0.0007844142 -0.003411675
-0.0007828142 -0.003176387
-0.0007812142 -0.003529319
-0.0007796142 -0.003764607
-0.0007780142 -0.003764607
-0.0007764142 -0.003294031
-0.0007748142 -0.003764607
-0.0007732142 -0.003294031
-0.0007716142 -0.003529319
-0.0007700142 -0.003529319
-0.0007684142 -0.003999895
-0.0007668142 -0.003529319
-0.0007652142 -0.003764607
-0.0007636142 -0.003529319
-0.0007620142 -0.003646963
-0.0007604142 -0.003411675
-0.0007588142 -0.003882251
-0.0007572142 -0.003411675
-0.0007556142 -0.003529319
-0.0007540142 -0.003646963
-0.0007524142 -0.003411675
-0.0007508142 -0.003411675
-0.0007492142 -0.003294031
-0.0007476142 -0.003529319
-0.0007460142 -0.003529319
-0.0007444142 -0.003294031
-0.0007428142 -0.003294031
-0.0007412142 -0.003411675
-0.0007396142 -0.003529319
-0.0007380142 -0.003529319
-0.0007364142 -0.003529319
-0.0007348142 -0.003411675
-0.0007332142 -0.003646963
-0.0007316142 -0.003176387
-0.0007300142 -0.003764607
-0.0007284142 -0.003411675
-0.0007268142 -0.003529319
-0.0007252142 -0.003294031
-0.0007236142 -0.003646963
-0.0007220142 -0.003294031
-0.0007204142 -0.003529319
-0.0007188142 -0.003529319
-0.0007172142 -0.003646963
-0.0007156142 -0.003294031
-0.0007140142 -0.003529319
-0.0007124142 -0.003529319
-0.0007108142 -0.003529319
-0.0007092142 -0.003529319
-0.0007076142 -0.003646963
-0.0007060142 -0.003646963
-0.0007044142 -0.003764607
-0.0007028142 -0.003294031
-0.0007012142 -0.003882251
-0.0006996142 -0.003411675
-0.0006980142 -0.003999895
-0.0006964142 -0.003529319
-0.0006948142 -0.003646963
-0.0006932142 -0.003411675
-0.0006916142 -0.003882251
-0.0006900142 -0.003529319
-0.0006884142 -0.003646963
-0.0006868142 -0.003411675
-0.0006852142 -0.003294031
-0.0006836142 -0.003058743
-0.0006820142 -0.003764607
-0.0006804142 -0.003294031
-0.0006788142 -0.003882251
-0.0006772142 -0.003294031
-0.0006756142 -0.003646963
-0.0006740142 -0.003294031
-0.0006724142 -0.003529319
-0.0006708142 -0.003529319
-0.0006692142 -0.003764607
-0.0006676142 -0.003529319
-0.0006660142 -0.003646963
-0.0006644142 -0.003294031
-0.0006628142 -0.003529319
-0.0006612142 -0.003529319
-0.0006596142 -0.003764607
-0.0006580142 -0.003176387
-0.0006564142 -0.003529319
-0.0006548142 -0.003294031
-0.0006532142 -0.003529319
-0.0006516142 -0.003411675
-0.0006500142 -0.003529319
-0.0006484142 -0.003646963
-0.0006468142 -0.003529319
-0.0006452142 -0.003294031
-0.0006436142 -0.003646963
-0.0006420142 -0.003176387
-0.0006404142 -0.003764607
-0.0006388142 -0.003294031
-0.0006372142 -0.003882251
-0.0006356142 -0.003411675
-0.0006340142 -0.003764607
-0.0006324142 -0.003411675
-0.0006308142 -0.003646963
-0.0006292142 -0.003646963
-0.0006276142 -0.003411675
-0.0006260142 -0.003058743
-0.0006244142 -0.003529319
-0.0006228142 -0.003529319
-0.0006212142 -0.003646963
-0.0006196142 -0.003411675
-0.0006180142 -0.003529319
-0.0006164142 -0.003529319
-0.0006148142 -0.003411675
-0.0006132142 -0.003529319
-0.0006116142 -0.003882251
-0.0006100142 -0.003058743
-0.0006084142 -0.003764607
-0.0006068142 -0.003529319
-0.0006052142 -0.003646963
-0.0006036142 -0.003411675
-0.0006020142 -0.003529319
-0.0006004142 -0.003646963
-0.0005988142 -0.003764607
-0.0005972142 -0.003529319
-0.0005956142 -0.003529319
-0.0005940142 -0.003529319
-0.0005924142 -0.003529319
-0.0005908142 -0.003294031
-0.0005892142 -0.003646963
-0.0005876142 -0.003176387
-0.0005860142 -0.003529319
-0.0005844142 -0.003529319
-0.0005828142 -0.003646963
-0.0005812142 -0.003058743
-0.0005796142 -0.003529319
-0.0005780142 -0.003411675
-0.0005764142 -0.003529319
-0.0005748142 -0.003411675
-0.0005732142 -0.003764607
-0.0005716142 -0.003646963
-0.0005700142 -0.003411675
-0.0005684142 -0.003176387
-0.0005668142 -0.003646963
-0.0005652142 -0.003176387
-0.0005636142 -0.003646963
-0.0005620142 -0.003529319
-0.0005604142 -0.003529319
-0.0005588142 -0.003529319
-0.0005572142 -0.003646963
-0.0005556142 -0.003529319
-0.0005540142 -0.003529319
-0.0005524142 -0.003294031
-0.0005508142 -0.003646963
-0.0005492142 -0.003176387
-0.0005476142 -0.003999895
-0.0005460142 -0.003646963
-0.0005444142 -0.003529319
-0.0005428142 -0.003294031
-0.0005412142 -0.003529319
-0.0005396142 -0.003411675
-0.0005380142 -0.003764607
-0.0005364142 -0.003058743
-0.0005348142 -0.003529319
-0.0005332142 -0.003529319
-0.0005316142 -0.003646963
-0.0005300142 -0.003176387
-0.0005284142 -0.003529319
-0.0005268142 -0.003411675
